shirt_num,player_name,player_position,age,player_height,player_Weight
39	, Josep Calavera,	M	,21	,1.80	,-
27	Sergio Camello,	F,	20	,1.77	,70.85,
41	 Oscar Castro,	M	,19	-	-
49	Corral Alciturri, 	D	18	-	-
10	Angel Correa, 	F	26	1.71	67.86
18	Felipe	D	32	1.90	82.83
19	Moussa Dembele, 	F	24	1.83	73.84
21	Yannick Carrasco, 	F	27	1.81	71.85
28	Alvaro Garcia, 	M	21	1.83	-
2	Jose Gimenez, D	26	1.85	79.83
1	Ivo Grbic, 	G	25	1.95	82.83
22	Mario Hermoso, 	D	25	1.84	74.84
16	Hector Herrera, 	M	31	1.85	79.83
4	Geoffrey Kondogbia, 	M	28	1.90	79.83
11	Thomas Lemar, 	M	25	1.71	62.87
14	Marcos Llorente, 	M	26	1.84	73.84
12	Renan Lodi, 	D	23	1.73	67.86
20	Vitolo	M	31	1.85	79.83
38	Toni Moya, 	23	-	-
8	Saul Niguez, 	M	26	1.84	76.84
13	Jan Oblak, 	G	28	1.88	86.82
6 	Koke	M	29	1.76	73.84
31	Miguel San Roman, 	G	23	1.89	-
29	Richard Sanchez, 	D	21	-	-
15	Stefan Savic, 	D	30	1.87	78.83
7	Joao Felix, 	F	21	1.81	69.85
42	Mario Carreno, 	F	19	1.63	-
9	Luis Suarez, 	F	34	1.82	85.82
5	Lucas Torreira, 	M	25	1.68	63.87
23	Kieran Trippier, 	D	30	1.73	70.85
30	German Valera, German	F	19	1.70	-
24	Sime Vrsaljko, 	29	1.81	75.84
22	Isco	M	29	1.76	78.83
11	Marco Asensio, 	F	25	1.82	75.84
14	Casemiro	M	29	1.85	83.82
24	Mariano Diaz, 	F	27	1.80	75.84
6	Nacho	D	31	1.80	75.84
7	Eden Hazard, 	F	30	1.75	73.84
8	Toni Kroos, 	M	31	1.83	77.84
10	Luka Modric, 	M	35	1.72	65.86
19	Alvaro Odriozola, 	D	25	1.76	65.86
4	Sergio Ramos, 	D	35	1.84	81.83
17	Lucas Vazquez, 	F	29	1.73	69.85
12	Marcelo	D	33	1.74	74.84
26	Diego Altube, 	G	21	1.88	84.82
43	Oscar Aranda, 	F	19	1.81	-
30	Sergio Arribas, 	M	19	1.71	-
9	Karim Benzema, 	F	33	1.85	80.83
31	Antonio Blanco, 	M	20	1.76	-
2	Dani Carvajal, 	29	1.73	72.85
32	Victor Chust, 	D	21	1.82	-
42	Lucas Canizares, 	G	19	1.86	-
1	Thibaut Courtois, 	G	29	1.99	95.80
34	Hugo Duro, 	F	21	1.80	-
35	Miguel Gutierrez, 	D	19	-	-
13	Andriy Lunin, 	G	22	1.91	79.83
23	Ferland Mendy, 	D	26	1.80	72.85
3	Eder Militao, 	D	23	1.86	77.84
20	Vinicius Junior, 	F	20	1.76	72.85
28	Marvin Park, 	M	21	1.77	-
39 	Pablo Ramon Parra, 	D	19	1.86	75.84
40 	Sergio Santos, 	D	20	-	-
25 	Rodrygo	F	20	1.74	63.87
15	Federico Valverde, 	M	22	1.82	77.84
5	Raphael Varane, 	D	28	1.91	80.83